HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
"Hudson, FL",1188,160,329,758,45,102,351228,112737,210737,46466,10660,3098,942%,409%,261%,1549,471%,204%,130%,1010,307%,133%,85%,711,1580%,697%,444%,355,789%,348%,222%,232,516%,227%,145%
"Huntington, WV",1561,162,382,971,64,113,276340,63341,165804,35113,7700,2341,613%,241%,150%,1170,306%,120%,75%,763,200%,79%,49%,513,802%,454%,317%,257,402%,227%,159%,167,261%,148%,103%
"Huntsville, AL",1804,248,569,1187,59,154,506155,100153,303693,63410,13675,4227,743%,356%,234%,2114,372%,178%,117%,1378,242%,116%,76%,912,1546%,592%,368%,456,773%,296%,184%,297,503%,193%,120%
"Idaho Falls, ID",492,44,269,381,24,34,169856,28437,101914,20985,4449,1399,520%,367%,284%,700,260%,184%,142%,456,170%,120%,93%,297,1238%,874%,675%,148,617%,435%,336%,97,404%,285%,220%
"Indianapolis, IN",7441,1081,3350,5396,403,742,2249394,412838,1349636,279963,59899,18664,557%,346%,251%,9332,279%,173%,125%,6086,182%,113%,82%,3993,991%,538%,369%,1997,496%,269%,185%,1302,323%,175%,120%
"Iowa City, IA",1414,147,538,976,64,106,279218,53012,167531,34853,7483,2324,432%,238%,164%,1162,216%,119%,82%,758,141%,78%,54%,499,780%,471%,339%,249,389%,235%,169%,163,255%,154%,111%
"Jackson, MS",4425,406,1964,3194,149,277,792834,152349,475700,99067,21298,6604,336%,207%,149%,3302,168%,103%,75%,2154,110%,67%,49%,1420,953%,513%,350%,710,477%,256%,175%,463,311%,167%,114%
"Jackson, TN",1063,115,423,743,57,86,256100,58414,153660,32525,7129,2168,513%,292%,204%,1084,256%,146%,102%,707,167%,95%,67%,475,833%,552%,413%,238,418%,277%,207%,155,272%,180%,135%
"Jacksonville, FL",4947,618,1625,3286,183,400,1340118,254567,804071,167284,35919,11152,686%,339%,225%,5576,343%,170%,113%,3637,224%,111%,74%,2395,1309%,599%,388%,1197,654%,299%,194%,781,427%,195%,126%
"Johnson City, TN",956,94,342,649,39,66,235522,51395,141313,29779,6493,1985,580%,306%,208%,993,290%,153%,104%,647,189%,100%,68%,433,1110%,656%,461%,216,554%,327%,230%,141,362%,214%,150%
"Johnstown, PA",741,44,426,584,25,35,170816,45254,102490,22053,4925,1470,345%,252%,198%,735,173%,126%,99%,479,112%,82%,65%,328,1312%,937%,745%,164,656%,469%,373%,107,428%,306%,243%
"Joliet, IL",1376,149,662,1019,53,101,516812,90546,310087,64078,13646,4272,645%,419%,310%,2136,323%,210%,155%,1393,210%,137%,101%,910,1717%,901%,611%,455,858%,450%,305%,297,560%,294%,199%
"Jonesboro, AR",975,76,403,689,23,50,185969,38518,111581,23396,5071,1560,387%,226%,160%,780,194%,113%,80%,509,126%,74%,52%,338,1470%,676%,445%,169,735%,338%,222%,110,478%,220%,145%
"Joplin, MO",1045,124,507,776,71,97,282798,63826,169679,35877,7854,2392,472%,308%,229%,1196,236%,154%,114%,780,154%,101%,75%,524,738%,540%,423%,262,369%,270%,211%,171,241%,176%,138%
"Kalamazoo, MI",1462,139,681,1072,21,80,520196,104986,312118,65287,14110,4352,639%,406%,298%,2176,320%,203%,149%,1419,208%,132%,97%,941,4481%,1176%,677%,470,2238%,588%,338%,307,1462%,384%,221%
"Kansas City, MO",6736,795,2646,4691,286,541,1950902,362250,1170541,243051,52064,16203,612%,345%,241%,8102,306%,173%,120%,5284,200%,113%,78%,3471,1214%,642%,437%,1735,607%,321%,218%,1132,396%,209%,142%
"Kettering, OH",923,138,412,667,42,90,334281,73199,200569,42280,9222,2819,684%,423%,305%,1409,342%,211%,153%,919,223%,138%,100%,615,1464%,683%,446%,307,731%,341%,222%,200,476%,222%,145%
"Kingsport, TN",1485,185,668,1077,75,130,375852,93948,225511,48202,10685,3213,481%,298%,216%,1607,241%,149%,108%,1048,157%,97%,71%,712,949%,548%,385%,356,475%,274%,192%,232,309%,178%,125%
"Knoxville, TN",3193,299,1198,2195,74,186,1108058,250729,664835,140610,30789,9374,782%,427%,294%,4687,391%,214%,147%,3057,255%,139%,96%,2053,2774%,1104%,687%,1026,1386%,552%,343%,669,904%,360%,224%
"La Crosse, WI",650,78,286,468,44,61,279590,60747,167754,35336,7701,2356,824%,503%,362%,1178,412%,252%,181%,768,269%,164%,118%,513,1166%,841%,658%,257,584%,421%,329%,167,380%,274%,214%
"Lafayette, IN",457,34,193,325,14,24,199535,31824,119721,24561,5184,1637,848%,504%,358%,819,424%,252%,179%,534,277%,164%,117%,346,2471%,1442%,1018%,173,1236%,721%,509%,113,807%,471%,332%
"Lafayette, LA",1716,188,700,1208,87,137,477559,85840,286535,59335,12668,3956,565%,327%,231%,1978,283%,164%,115%,1290,184%,107%,75%,845,971%,617%,449%,422,485%,308%,224%,275,316%,201%,146%
"Lake Charles, LA",830,81,424,627,44,62,210604,37934,126362,26171,5589,1745,412%,278%,210%,872,206%,139%,105%,569,134%,91%,69%,373,848%,602%,460%,186,423%,300%,230%,122,277%,197%,151%
