HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
"Eugene, OR",1208,138,416,812,64,101,603572,141016,362143,76845,16891,5123,1231%,631%,424%,2562,616%,316%,212%,1671,402%,206%,138%,1126,1759%,1115%,816%,563,880%,557%,408%,367,573%,363%,266%
"Evanston, IL",2032,332,666,1349,137,234,711961,162705,427177,90438,19826,6029,905%,447%,297%,3015,453%,223%,148%,1966,295%,146%,97%,1322,965%,565%,398%,661,482%,282%,199%,431,315%,184%,130%
"Evansville, IN",2154,328,1050,1602,157,243,528945,115347,317367,66875,14580,4458,425%,278%,207%,2229,212%,139%,103%,1454,138%,91%,68%,972,619%,400%,296%,486,310%,200%,148%,317,202%,130%,97%
"Everett, WA",951,83,319,635,26,55,542404,104811,325442,67808,14586,4521,1417%,712%,475%,2260,708%,356%,238%,1474,462%,232%,155%,972,3738%,1767%,1171%,486,1869%,884%,586%,317,1219%,576%,382%
"Fargo/Moorhead MN, ND",1872,180,734,1303,48,114,432080,90275,259248,54403,11803,3627,494%,278%,194%,1813,247%,139%,97%,1183,161%,91%,63%,787,1640%,690%,437%,393,819%,345%,218%,257,535%,225%,143%
"Flint, MI",1375,161,458,916,58,109,426480,89340,255888,53711,11656,3581,782%,391%,260%,1790,391%,195%,130%,1168,255%,128%,85%,777,1340%,713%,483%,389,671%,357%,242%,253,436%,232%,157%
"Florence, SC",1248,224,481,865,79,151,287862,62812,172717,36397,7936,2426,504%,280%,194%,1213,252%,140%,97%,791,164%,91%,63%,529,670%,350%,236%,265,335%,175%,118%,173,219%,115%,77%
"Fort Collins, CO",704,31,341,523,14,22,287995,47223,172797,35523,7517,2368,694%,453%,336%,1184,347%,226%,168%,772,226%,148%,110%,501,3579%,2277%,1616%,251,1793%,1141%,810%,163,1164%,741%,526%
"Fort Lauderdale, FL",7323,908,2753,5038,292,600,2396614,619365,1437968,308518,68680,20568,747%,408%,281%,10284,374%,204%,140%,6707,244%,133%,92%,4579,1568%,763%,504%,2289,784%,382%,252%,1493,511%,249%,164%
"Fort Myers, FL",3115,268,1089,2102,97,182,1079022,373713,647413,144310,33490,9621,883%,458%,309%,4810,442%,229%,154%,3137,288%,149%,101%,2233,2302%,1227%,833%,1116,1151%,613%,416%,728,751%,400%,272%
"Fort Smith, AR",931,87,487,709,55,71,281971,62427,169183,35703,7798,2380,489%,336%,256%,1190,244%,168%,128%,776,159%,109%,83%,520,945%,732%,598%,260,473%,366%,299%,170,309%,239%,195%
"Fort Wayne, IN",2442,376,1038,1740,143,259,651379,132442,390827,81806,17695,5454,525%,313%,223%,2727,263%,157%,112%,1778,171%,102%,73%,1180,825%,456%,314%,590,413%,228%,157%,385,269%,149%,102%
"Fort Worth, TX",4200,501,1400,2800,187,344,1764292,277941,1058575,216972,45740,14465,1033%,517%,344%,7232,517%,258%,172%,4717,337%,168%,112%,3049,1630%,886%,609%,1525,816%,443%,304%,994,532%,289%,198%
"Fresno, CA",1935,205,547,1241,77,141,918145,146620,550887,113026,23857,7535,1378%,607%,389%,3768,689%,304%,195%,2457,449%,198%,127%,1590,2065%,1128%,776%,795,1032%,564%,388%,519,674%,368%,253%
"Gainesville, FL",1834,303,469,1152,88,195,464038,96829,278423,58420,12673,3895,830%,338%,212%,1947,415%,169%,106%,1270,271%,110%,69%,845,960%,433%,279%,422,480%,216%,139%,276,314%,142%,91%
"Gary, IN",1434,179,638,1036,95,137,392167,80990,235300,49323,10687,3288,515%,317%,229%,1644,258%,159%,115%,1072,168%,103%,75%,712,749%,520%,398%,356,375%,260%,199%,232,244%,169%,130%
"Grand Forks, ND",952,31,374,663,18,24,130084,25793,78050,16300,3516,1087,291%,164%,114%,543,145%,82%,57%,354,95%,53%,37%,234,1300%,975%,755%,117,650%,488%,377%,76,422%,317%,245%
"Grand Junction, CO",696,75,321,509,33,54,270519,57077,162311,34092,7405,2273,708%,447%,327%,1136,354%,223%,163%,741,231%,146%,106%,494,1497%,915%,659%,247,748%,457%,329%,161,488%,298%,215%
"Grand Rapids, MI",2440,236,957,1699,86,161,933913,171359,560348,116234,24868,7749,810%,456%,318%,3874,405%,228%,159%,2527,264%,149%,104%,1658,1928%,1030%,703%,829,964%,515%,351%,541,629%,336%,229%
"Great Falls, MT",937,50,367,652,27,39,114922,25583,68953,14559,3182,971,265%,149%,104%,485,132%,74%,52%,316,86%,48%,34%,212,785%,544%,424%,106,393%,272%,212%,69,256%,177%,138%
"Greeley, CO",792,79,396,594,28,54,294267,55594,176560,36715,7879,2448,618%,412%,309%,1224,309%,206%,155%,798,202%,134%,101%,525,1875%,972%,665%,263,939%,487%,333%,171,611%,317%,216%
"Green Bay, WI",990,112,498,744,43,77,402953,88095,241772,50958,11113,3397,682%,457%,343%,1699,341%,228%,172%,1108,222%,149%,112%,741,1723%,962%,662%,370,860%,481%,330%,242,563%,314%,216%
"Greensboro, NC",1224,135,362,793,47,91,505727,100544,303436,63384,13676,4226,1167%,533%,345%,2113,584%,266%,173%,1378,381%,174%,113%,912,1940%,1002%,676%,456,970%,501%,338%,297,632%,326%,220%
"Greenville, NC",1977,339,631,1304,115,227,679309,136432,407585,85218,18408,5681,900%,436%,287%,2841,450%,218%,144%,1853,294%,142%,94%,1227,1067%,541%,362%,614,534%,270%,181%,400,348%,176%,118%
"Greenville, SC",2217,282,798,1507,41,161,743619,153533,446171,93524,20264,6235,781%,414%,281%,3117,391%,207%,141%,2033,255%,135%,92%,1351,3295%,839%,479%,675,1646%,419%,239%,441,1076%,274%,156%
"Gulfport, MS",609,80,287,448,40,60,159671,28559,95803,19830,4232,1322,461%,295%,217%,661,230%,148%,109%,431,150%,96%,71%,282,705%,470%,353%,141,353%,235%,176%,92,230%,153%,115%
"Hackensack, NJ",3819,175,1057,2438,98,137,1048868,200075,629321,130975,28136,8732,826%,358%,229%,4366,413%,179%,114%,2847,269%,117%,75%,1876,1914%,1369%,1072%,938,957%,685%,536%,612,624%,447%,350%
"Harlingen, TX",1145,120,536,840,44,82,418633,76061,251180,52060,11127,3471,648%,413%,303%,1735,324%,207%,152%,1132,211%,135%,99%,742,1686%,905%,618%,371,843%,452%,309%,242,550%,295%,202%
"Harrisburg, PA",2426,211,929,1677,61,136,825408,183199,495245,104539,22838,6969,750%,416%,287%,3485,375%,208%,144%,2273,245%,136%,94%,1523,2497%,1120%,722%,761,1248%,560%,361%,496,813%,365%,235%
"Hartford, CT",2855,323,751,1803,115,219,1196337,245503,717802,150376,32560,10025,1335%,556%,351%,5013,668%,278%,176%,3269,435%,181%,115%,2171,1888%,991%,672%,1085,943%,495%,336%,708,616%,323%,219%
"Hattiesburg, MS",1546,85,504,1025,30,57,240419,46076,144251,30034,6455,2002,397%,195%,129%,1001,199%,98%,65%,653,130%,64%,42%,430,1433%,754%,506%,215,717%,377%,253%,140,467%,246%,165%
"Hickory, NC",603,64,253,428,25,45,229268,51364,137561,29064,6357,1938,766%,453%,321%,969,383%,226%,161%,632,250%,148%,105%,424,1696%,942%,663%,212,848%,471%,331%,138,552%,307%,216%
"Hinsdale, IL",1041,172,402,721,89,130,385733,67856,231440,47841,10192,3189,793%,442%,306%,1595,397%,221%,153%,1040,259%,144%,100%,679,763%,522%,395%,340,382%,262%,198%,222,249%,171%,129%
"Honolulu, HI",2623,219,795,1709,73,146,1114023,238126,668414,140572,30577,9371,1179%,548%,357%,4686,589%,274%,179%,3056,384%,179%,117%,2038,2792%,1396%,931%,1019,1396%,698%,465%,665,911%,455%,304%
"Houma, LA",707,65,399,553,32,49,206176,37957,123706,25668,5493,1711,429%,309%,242%,856,215%,155%,121%,558,140%,101%,79%,366,1144%,747%,563%,183,572%,373%,282%,119,372%,243%,183%
"Houston, TX",14062,1790,5130,9596,652,1221,5278689,769270,3167213,645619,135164,43041,839%,449%,306%,21521,420%,224%,153%,14035,274%,146%,100%,9011,1382%,738%,503%,4505,691%,369%,252%,2938,451%,241%,164%
